Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
Bowman,50,22/10/2023,11,25,B,NA,0.489,3.036,2.836,1.846,0.99,0.2762,0.1967,0.0795,NA,NA
B289,26,21/10/2023,NA,28,A,NA,0.415,0,0,0,0,0,0,0,NA,NA
B289,27,21/10/2023,NA,28,A,NA,0.342,0,0,0,0,0,0,0,NA,NA
Bowman,53,22/10/2023,11,25,B,NA,0.501,2.671,2.644,1.749,0.895,0.2686,0.1834,0.0852,NA,NA
Bowman,54,22/10/2023,11,25,B,NA,0.478,2.627,2.045,1.907,0.0975,0.2888,0.2048,0.084,NA,NA
B289,56,22/10/2023,11,25,B,NA,0.46,1.979,1.933,1.424,0.509,0.2383,0.1891,0.0492,NA,NA
B289,68,22/10/2023,11,25,B,NA,0.468,2.245,2.523,1.723,0.8,0.2827,0.2104,0.0723,NA,NA
B289,2,21/10/2023,13,27,A,NA,0.472,2.179,1.729,1.052,0.677,0.2083,0.1403,0.068,NA,NA
B289,4,21/10/2023,13,27,A,NA,0.453,2.008,1.395,0.849,0.546,0.211,0.1441,0.0669,NA,NA
B289,6,21/10/2023,13,27,A,NA,0.481,2.006,1.821,1.191,0.63,0.2477,0.1798,0.0679,NA,NA
B289,35,21/10/2023,NA,NA,A,NA,0.381,0,0,0,0,0,0,0,NA,NA
Bowman,11,21/10/2023,13,27,A,NA,0.456,2.218,1.929,1.202,0.727,0.2426,0.1778,0.0648,NA,NA
B289,37,21/10/2023,NA,NA,A,NA,0.383,0,0,0,0,0,0,0,NA,NA
B289,38,21/10/2023,NA,NA,A,NA,0.428,0,0,0,0,0,0,0,NA,NA
B290,14,22/10/2023,12,26,B,NA,0.482,2.543,2.527,1.657,0.87,0.2368,0.1522,0.0846,NA,NA
B289,40,21/10/2023,NA,NA,A,NA,0.404,0,0,0,0,0,0,0,NA,NA
B289,41,22/10/2023,NA,NA,B,NA,0,0,#VALUE!,0,0,0,0,0,NA,NA
Bowman,15,21/10/2023,13,27,A,NA,0.474,2.11,1.683,1.043,0.64,0.208,0.1498,0.0582,NA,NA
Bowman,16,21/10/2023,13,27,A,NA,0.48,2.656,2.625,1.627,0.998,0.2767,0.193,0.0837,NA,NA
B289,17,21/10/2023,13,27,A,NA,0.473,1.717,1.51,0.903,0.607,0.207,0.1414,0.0656,NA,NA
