EXP,plant,rep,PEG,Temp,Weiss,Hoaglands,IFW,FFW,SFFW,RFFW,CFW,TDW,SDW,RDW,TWC,SWC,RWC,DR:S,WCR:S ,WU,RL,RSA,RAD,RV,RT,CFW/WU
2E,Ant,3,0%,4°C,1,Hg50,0.292,0.543,0.343,0.2,0.251,0.0638,0.0456,0.0182,0.4792,0.2974,0.1818,0.399122807,0.611297915,7.33,48.7269,19.6599,1.2843,0.631,937,0.034227273
3E,B285,5,15%,4°C,3,Hg50,0.514,0.75,0.436,0.314,0.236,0.1004,0.0713,0.0291,0.6496,0.3647,0.2849,0.408134642,0.781190019,7.67,99.1662,24.7146,0.7933,0.49,941,0.030782609
0E,B284,7,0%,4C,1,Hg50,,0.632,0.385,0.247,,,,,,,,,,10.5,64.9022,23.4885,1.152,0.676,947,0
0E,B285,8,0%,4C,1,Hg50,,0.639,0.39,0.249,,,,,,,,,,10.5,164.9766,24.8176,0.4788,0.297,956,0
0E,B289,4,0%,4C,1,Hg50,,0.565,0.342,0.223,,,,,,,,,,10.5,80.5038,20.8657,0.825,0.43,959,0
3E,B289,3,15%,4°C,3,Hg50,0.876,1.07,0.667,0.403,0.194,0.1363,0.0999,0.0364,0.9337,0.5671,0.3666,0.364364364,0.646446835,8.67,55.8129,34.2037,1.9507,1.668,966,0.022384615
2E,Bow,5,0%,4°C,1,Hg50,0.296,0.677,0.418,0.259,0.381,0.0627,0.042,0.0207,0.6143,0.376,0.2383,0.492857143,0.633776596,11.33,57.3308,25.5002,1.4158,0.903,968,0.033617647
1E,B289,2,15%,4°C,1,Hg50,0.536,0.673,0.421,0.252,0.137,0.0743,0.056,0.0183,0.5987,0.365,0.2337,0.326785714,0.640273973,5.67,71.1276,25.4967,1.141,0.727,978,0.024176471
4E,Ant,3,15%,4°C,3,Hg50,0.578,0.712,0.43,0.282,0.134,0.1103,0.0756,0.0347,0.6017,0.3544,0.2473,0.458994709,0.697799097,6.00,55.5379,26.548,1.5216,1.01,980,0.022333333
4E,Ant,3,0%,4°C,3,Hg50,0.446,0.853,0.524,0.329,0.407,0.1083,0.0742,0.0341,0.7447,0.4498,0.2949,0.459568733,0.655624722,12.67,54.2354,30.019,1.7618,1.322,981,0.032131579
0E,B289,1,15%,4C,1,Hg50,,0.534,0.321,0.213,,,,,,,,,,5.333333333,86.4582,22.7986,0.8394,0.478,983,0
0E,Bow,3,15%,4C,1,Hg50,,0.502,0.325,0.177,,,,,,,,,,5.333333333,81.9191,21.457,0.8337,0.447,984,0
2E,B290,5,15%,4°C,1,Hg50,0.469,0.6,0.416,0.184,0.131,0.0838,0.0586,0.0252,0.5162,0.3574,0.1588,0.43003413,0.44432009,5.33,118.7186,23.1552,0.6208,0.359,987,0.0245625
0E,Ant,10,0%,4C,1,Hg50,,0.654,0.364,0.29,,,,,,,,,,8.5,50.1349,29,1.8412,1.335,987,0
4E,B290,2,15%,4°C,3,Hg50,0.532,0.362,0.175,0.187,-0.17,0.1628,0.0408,0.122,0.1992,0.1342,0.065,2.990196078,0.484351714,1.00,85.003,22.0861,0.8271,0.457,1000,-0.17
1E,B285,4,0%,4°C,1,Hg50,0.315,0.65,0.448,0.202,0.335,0.0661,0.0511,0.015,0.5839,0.3969,0.187,0.293542074,0.471151424,8.67,141.5672,25.4542,0.5723,0.364,1009,0.038653846
4E,Bow,4,15%,4°C,3,Hg50,0.617,0.707,0.442,0.265,0.09,0.0938,0.0717,0.0221,0.6132,0.3703,0.2429,0.308228731,0.655954631,6.00,58.0854,31.6024,1.7318,1.368,1027,0.015
4E,B284,3,0%,4°C,3,Hg50,0.843,1.354,0.913,0.441,0.511,0.1576,0.1229,0.0347,1.1964,0.7901,0.4063,0.282343369,0.514238704,23.67,40.0229,32.9116,2.6175,2.154,1047,0.021591549
2E,B285,3,0%,4°C,1,Hg50,0.357,0.823,0.517,0.306,0.466,0.0833,0.0599,0.0234,0.7397,0.4571,0.2826,0.390651085,0.618245461,9.33,37.769,27.4015,2.3094,1.582,1053,0.049928571
0E,Ant,4,0%,4C,1,Hg50,,0.582,0.371,0.211,,,,,,,,,,6.5,81.563,22.8084,0.8901,0.508,1056,0
1E,B285,1,15%,4°C,1,Hg50,0.438,0.541,0.405,0.136,0.103,0.0657,0.0519,0.0138,0.4753,0.3531,0.1222,0.265895954,0.346077598,5.67,86.7156,19.1374,0.7025,0.336,1060,0.018176471
4E,Ant,2,0%,4°C,3,Hg50,0.522,0.924,0.551,0.373,0.402,0.1164,0.0774,0.039,0.8076,0.4736,0.334,0.503875969,0.705236486,12.67,79.0564,32.6727,1.3155,1.075,1068,0.031736842
1E,Ant,4,0%,4°C,1,Hg50,0.309,0.615,0.418,0.197,0.306,0.0702,0.0539,0.0163,0.5448,0.3641,0.1807,0.302411874,0.496292227,6.67,83.8248,21.2115,0.8055,0.427,1071,0.0459
2E,Ant,2,0%,4°C,1,Hg50,0.4,0.68,0.466,0.214,0.28,0.0842,0.0629,0.0213,0.5958,0.4031,0.1927,0.33863275,0.47804515,7.33,71.3939,21.6757,0.9664,0.524,1074,0.038181818
0E,B284,8,15%,4C,1,Hg50,,0.569,0.348,0.221,,,,,,,,,,5.333333333,100.2403,24.0885,0.7649,0.461,1084,0
0E,B285,2,0%,4C,1,Hg50,,0.908,0.538,0.37,,,,,,,,,,12.5,62.2164,33.6779,1.723,1.451,1085,0
0E,B289,5,0%,4C,1,Hg50,,0.578,0.337,0.241,,,,,,,,,,9.5,77.6693,22.8746,0.9375,0.536,1091,0
2E,Ant,2,15%,4°C,1,Hg50,0.339,0.474,0.288,0.186,0.135,0.0637,0.0452,0.0185,0.4103,0.2428,0.1675,0.409292035,0.689868204,4.33,61.4396,19.5738,1.0141,0.496,1092,0.031153846
2E,B290,4,15%,4°C,1,Hg50,0.382,0.479,0.315,0.164,0.097,0.0563,0.0403,0.016,0.4227,0.2747,0.148,0.397022333,0.538769567,4.33,79.7822,22.4543,0.8959,0.503,1094,0.022384615
1E,Bow,3,15%,4°C,1,Hg50,0.453,0.512,0.373,0.139,0.059,0.0704,0.056,0.0144,0.4416,0.317,0.1246,0.257142857,0.393059937,6.67,89.2867,22.0244,0.7852,0.432,1095,0.00885
